issue_number,appid,title,resolution_status,resolution_method,confidence_tier,routing_universe,linked_commits,cw_bug_ids,compat_flags,components,symptom_tags,tag_group
6568,1677280,Company of Heroes 3 (1677280),addressed,community_workaround,C,unknown,,,,,Network / Sync Issue,
4745,923570,Eternal Radiance (923570),unaddressed,,-,unknown,,,,,Black Screen,
5536,1659040,HITMAN World of Assassination (1659040),addressed,proton_update,B,graphics,,,,vkd3d-proton d3d12 audio,Freeze Launch Failure,
5845,1604030,V Rising (1604030),addressed,community_workaround,C,unknown,,,,,Cutscene Issue Launch Failure Network / Sync Issue,
5828,1218210,Coromon (1218210),partially_addressed,upstream_downstream,C,unknown,,,,,Stutter,
5366,1938090,Call of Duty (1938090),unaddressed,,-,unknown,,,,,Freeze In-game Crash,
6254,333260,Marvin's Mittens (333260),partially_addressed,proton_update,B,wine,,,,wine,Launch Failure,
6044,661130,ChilloutVR (661130),partially_addressed,community_workaround,C,unknown,,,,,In-game Crash,
7595,2054970,Dragon's Dogma 2 (2054970),unaddressed,,-,unknown,,,,,Black Screen In-game Crash,
5406,1206430,The Unfinished Swan (1206430),addressed,community_workaround,C,unknown,,,,,Launch Failure,
7317,2073850,THE FINALS (2073850),partially_addressed,community_workaround,C,unknown,,,disablenvapi,,Anti-cheat Issue,
7099,587180,Wulverblade (587180),unaddressed,,-,unknown,,,,,Black Screen Cutscene Issue,
7721,2479810,Gray Zone Warfare (2479810),partially_addressed,upstream_downstream,C,unknown,,,,,Anti-cheat Issue,
7217,1485120,BoomBox (1485120),addressed,proton_update,C,unknown,,,,,Launch Failure,
4777,1113560,NieR Replicant ver.1.22474487139... (1113560),partially_addressed,upstream_downstream,A,wine,645cf84677428fd4541387eed79ae7dbdedb5a4d 1b6dbd0611bca61c388172861403adf13ac02e1d 9683753583beb2557a890312e67d81ebcb82e83c,,,,Loading/Saving Crash,
8404,2379780,Balatro (2379780),addressed,community_workaround,C,unknown,,,,,Freeze,
5613,1245620,Elden Ring (1245620),addressed,proton_update,B,graphics,,,,vkd3d-proton anti-cheat,Launch Failure,
5083,4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade (4580) not running on Fedora",addressed,upstream_downstream,C,unknown,,,,,Launch Failure,
9272,4192060,Virtual Fighter Maneuvers Playtest (4192060),partially_addressed,community_workaround,C,unknown,,,,,Graphic  / Rendering Issue,
5492,570940,Dark Souls: Remastered unable to use Dualsense controller,unaddressed,,-,unknown,,,,,Controller Issue,
5495,1446780,Monster Hunter Rise (1446780),addressed,upstream_downstream,C,unknown,,,,,Freeze Audio Issue,
6602,2076040,The Finals Playtest (2076040),unaddressed,,-,unknown,,,,,Cutscene Issue Launch Failure,
6747,740130,Tales of Arise (740130),unaddressed,,-,unknown,,,,,Input Configuration Issue,
7835,2524360,With My Past (2524360),addressed,proton_update,B,wine,,,,wine,Startup Crash,
5017,346110,ARK Survival Evolved,unaddressed,,-,unknown,,,,,Launch Failure,
8744,377860,Mushihimesama (377860),unaddressed,,-,unknown,,,,,Black Screen,
4691,391220,Rise of the Tomb Raider (391220),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue Stutter,
9119,2698940,The Crew Motorfest (2698940),unaddressed,,-,unknown,,,hidenvgpu,,Launch Failure,
7459,489520,mthreads S80 cannot use proton,unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
4708,700600,Evil Genius 2 (700600),unaddressed,,-,unknown,,,,,Launch Failure,
5047,1238840,Battlefield 1 (1238840),unaddressed,,-,unknown,,,,,UI Issues,
6156,2058180,Judgment (2058180),addressed,community_workaround,C,unknown,,,,,Freeze,
5613,1245620,Elden Ring (1245620),partially_addressed,community_workaround,B,graphics,,,,vkd3d-proton anti-cheat,Launch Failure,
5100,19900,Version 6.3.6 broke Far Cry 2 compatibility,unaddressed,,-,unknown,,,,,Launch Failure,
5258,1466860,Age of Empires IV: Anniversary Edition (1466860),partially_addressed,community_workaround,C,unknown,,,noopwr,,Black Screen In-game Crash,
8717,2427430,S.T.A.L.K.E.R.: Call of Prypiat - Enhanced Edition (2427430),partially_addressed,community_workaround,C,unknown,,,,,Black Screen,
7324,42990,Sword of the Stars II: Enhanced Edition (42990),unaddressed,,-,unknown,,,,,Launch Failure,
9078,1004640,Final Fantasy Tactics - The Ivalice Chronicles (1004640),addressed,proton_update,B,graphics,,,,vkd3d-proton d3d12,Launch Failure,
4991,1345820,Ragnarock (1345820),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
5942,938520,Twenty One (938520),unaddressed,,-,unknown,,,,,Launch Failure,
4528,1057090,Ori and the Will of the Wisps (1057090),unaddressed,,-,unknown,,,,,Freeze Low FPS,
4823,1328670,Mass Effect™ Legendary Edition (1328670) ,partially_addressed,community_workaround,C,unknown,,,,,Launch Failure,
8270,1812450,Bellwright (1812450),partially_addressed,proton_update,B,graphics,,,,DXVK wine steam runtime,Others,
4676,63380,Sniper ELite V2 Doesn't launcher!,unaddressed,,-,unknown,,,,,Launch Failure,
